symbol,name,industry,years_with_dividend,avg_dividend_yield,std_dividend_yield,min_dividend_yield,max_dividend_yield,cv_percent,current_yield,pe_ttm,pb,market_cap_bn
002818.SZ,富森美,其他商业,4,8.53,0.37,8.17,9.03,4.37,8.9888,13.94,1.57,86.6
605368.SH,蓝天燃气,供气供热,4,8.52,1.8,6.56,10.26,21.13,9.8494,19.64,1.92,61.67
002327.SZ,富安娜,纺织,4,7.77,1.06,6.75,9.04,13.59,9.0116,14.11,1.66,57.67
601225.SH,陕西煤业,煤炭开采,4,7.4,2.01,5.3,10.11,27.17,4.6223,12.88,2.61,2464.47
600153.SH,建发股份,仓储物流,4,7.36,1.76,5.12,9.19,23.86,5.5002,13.07,0.48,266.18
601088.SH,中国神华,煤炭开采,4,7.17,1.32,6.03,8.78,18.4,6.757,18.45,2.4,9526.96
600177.SH,雅戈尔,服饰,4,7.14,0.74,6.08,7.81,10.35,5.1196,12.44,0.76,324.1
600681.SH,百川能源,供气供热,4,6.4,0.68,5.52,6.99,10.64,5.2339,17.92,1.71,60.2
000651.SZ,格力电器,家用电器,4,6.37,1.62,4.03,7.67,25.41,8.0131,6.6,1.51,2091.0
601166.SH,兴业银行,银行,4,6.32,1.0,4.87,7.13,15.74,8.8798,5.0,0.48,3872.8
002293.SZ,罗莱生活,纺织,4,6.32,0.49,5.91,6.96,7.77,6.0502,16.17,2.07,82.72
601229.SH,上海银行,银行,4,6.15,0.62,5.35,6.87,10.13,5.4219,5.67,0.58,1362.64
002867.SZ,周大生,服饰,4,6.08,1.39,4.12,7.19,22.92,7.5694,12.45,2.15,129.06
600015.SH,华夏银行,银行,4,6.04,0.32,5.78,6.48,5.37,5.9297,4.0,0.35,1086.99
600039.SH,四川路桥,建筑工程,4,5.98,1.66,4.1,8.14,27.73,4.0921,11.25,1.76,870.43
002572.SZ,索菲亚,家居用品,4,5.85,1.46,3.95,7.13,25.03,7.8431,10.86,1.7,122.79
002884.SZ,凌霄泵业,机械基件,4,5.84,0.46,5.39,6.45,7.87,5.6054,13.76,2.76,63.81
600016.SH,民生银行,银行,4,5.84,0.56,5.16,6.44,9.56,5.1031,5.6,0.3,1698.76
600919.SH,江苏银行,银行,4,5.82,0.47,5.14,6.15,8.02,5.2082,5.62,0.77,1921.38
601169.SH,北京银行,银行,4,5.8,1.11,4.32,6.96,19.12,3.7175,4.33,0.41,1137.49
601077.SH,渝农商行,银行,4,5.75,0.8,4.8,6.76,13.95,4.7223,6.34,0.58,754.1
601009.SH,南京银行,银行,4,5.68,0.79,4.55,6.24,13.95,4.4747,6.28,0.75,1369.88
600866.SH,星湖科技,饲料,3,5.68,0.72,5.17,6.5,12.7,4.9415,9.97,1.54,127.77
