symbol,total_amount,total_shares,num_buyers,key_person_amount,key_person_count,latest_date,key_person_details
001203,392022086.0,15330800,1,392022086.0,3,2026-01-19,"[{'name': '林圃生', 'title': '董事、高管', 'amount': 136603296.0, 'shares': 5580200, 'price': 24.48, 'date': Timestamp('2026-01-19 00:00:00'), 'is_key': True}, {'name': '林圃生', 'title': '董事、高管', 'amount': 6803790.0, 'shares': 250600, 'price': 27.15, 'date': Timestamp('2026-01-16 00:00:00'), 'is_key': True}, {'name': '林圃生', 'title': '董事、高管', 'amount': 248615000.00000003, 'shares': 9500000, 'price': 26.17, 'date': Timestamp('2026-01-15 00:00:00'), 'is_key': True}]"
603057,375775074.75000006,22983185,1,375775074.75000006,1,2026-02-13,"[{'name': '钟勤川', 'title': '董事', 'amount': 375775074.75000006, 'shares': 22983185, 'price': 16.35, 'date': Timestamp('2026-02-13 00:00:00'), 'is_key': True}]"
603711,281785084.95,21107497,1,281785084.95,1,2026-03-06,"[{'name': '蒋建琪', 'title': '董事', 'amount': 281785084.95, 'shares': 21107497, 'price': 13.35, 'date': Timestamp('2026-03-06 00:00:00'), 'is_key': True}]"
002266,208000000.0,52000000,1,208000000.0,4,2025-12-26,"[{'name': '孙毅', 'title': '董事', 'amount': 28000000.0, 'shares': 7000000, 'price': 4.0, 'date': Timestamp('2025-12-26 00:00:00'), 'is_key': True}, {'name': '孙毅', 'title': '董事', 'amount': 72000000.0, 'shares': 18000000, 'price': 4.0, 'date': Timestamp('2025-12-25 00:00:00'), 'is_key': True}, {'name': '孙毅', 'title': '董事', 'amount': 72000000.0, 'shares': 18000000, 'price': 4.0, 'date': Timestamp('2025-12-24 00:00:00'), 'is_key': True}]"
600080,196906224.9,21519806,1,196906224.9,1,2025-12-12,"[{'name': '邢博越', 'title': '董事、高级管理人员', 'amount': 196906224.9, 'shares': 21519806, 'price': 9.15, 'date': Timestamp('2025-12-12 00:00:00'), 'is_key': True}]"
601899,110942500.0,9950000,10,110942500.0,13,2025-12-15,"[{'name': '龙翼', 'title': '高级管理人员', 'amount': 10035000.0, 'shares': 900000, 'price': 11.15, 'date': Timestamp('2025-12-15 00:00:00'), 'is_key': True}, {'name': '郑友诚', 'title': '高级管理人员', 'amount': 3345000.0, 'shares': 300000, 'price': 11.15, 'date': Timestamp('2025-12-15 00:00:00'), 'is_key': True}, {'name': '邹来昌', 'title': '董事、高级管理人员', 'amount': 9477500.0, 'shares': 850000, 'price': 11.15, 'date': Timestamp('2025-12-15 00:00:00'), 'is_key': True}]"
300760,97184048.0,495500,3,97184048.0,8,2026-03-04,"[{'name': '李朝阳', 'title': '高管', 'amount': 879250.0, 'shares': 5000, 'price': 175.85, 'date': Timestamp('2026-03-04 00:00:00'), 'is_key': True}, {'name': '李朝阳', 'title': '高管', 'amount': 3266100.0, 'shares': 18000, 'price': 181.45, 'date': Timestamp('2026-03-03 00:00:00'), 'is_key': True}, {'name': '李朝阳', 'title': '高管', 'amount': 1859500.0, 'shares': 10000, 'price': 185.95, 'date': Timestamp('2026-02-13 00:00:00'), 'is_key': True}]"
603196,93480000.0,12000000,1,93480000.0,1,2026-01-28,"[{'name': '梁丰', 'title': '董事', 'amount': 93480000.0, 'shares': 12000000, 'price': 7.79, 'date': Timestamp('2026-01-28 00:00:00'), 'is_key': True}]"
002727,66172315.0,5855200,1,66172315.0,3,2025-12-17,"[{'name': '阮爱翔', 'title': '董事、高管', 'amount': 17445375.0, 'shares': 1550700, 'price': 11.25, 'date': Timestamp('2025-12-17 00:00:00'), 'is_key': True}, {'name': '阮爱翔', 'title': '董事、高管', 'amount': 22690940.0, 'shares': 2004500, 'price': 11.32, 'date': Timestamp('2025-12-16 00:00:00'), 'is_key': True}, {'name': '阮爱翔', 'title': '董事、高管', 'amount': 26036000.0, 'shares': 2300000, 'price': 11.32, 'date': Timestamp('2025-12-15 00:00:00'), 'is_key': True}]"
603117,52129965.0,11983900,1,52129965.0,2,2026-01-30,"[{'name': '郝剑斌', 'title': '董事、高级管理人员', 'amount': 22549965.0, 'shares': 5183900, 'price': 4.35, 'date': Timestamp('2026-01-30 00:00:00'), 'is_key': True}, {'name': '郝剑斌', 'title': '董事、高级管理人员', 'amount': 29579999.999999996, 'shares': 6800000, 'price': 4.35, 'date': Timestamp('2026-01-29 00:00:00'), 'is_key': True}]"
