symbol,name,industry,exchange,price,pe_ttm,pb,ps_ttm,turnover_rate,volume_ratio,market_cap_10k,circulating_cap_10k,dividend_yield_ttm,date,market_cap,circulating_cap,momentum_20d,momentum_60d,price_vs_ma120,price_vs_ma60,volatility_20d,pe_score,pb_score,ps_score,dividend_score,momentum_20d_score,momentum_60d_score,turnover_deviation,turnover_score,volume_ratio_deviation,volume_ratio_score,stability_score,total_score
600502.SH,安徽建工,建筑工程,SSE,4.84,6.9723,0.7568,0.0949,1.4623,1.07,830802.426,830802.426,5.9917,2026-03-09,83.08024259999999,83.08024259999999,3.418803418803429,-0.6160164271047264,,1.022031392975294,19.413740610121504,97.88732394366197,96.15877080665813,99.55185659411012,96.9270166453265,65.94110115236876,37.77208706786171,0.03770000000000007,97.82330345710628,0.1299999999999999,83.7067861715749,88.92445582586427,81.65492957746478
600582.SH,天地科技,专用机械,SSE,6.12,9.0911,0.993,0.8731,1.6001,1.35,2532816.4019,2532816.4019,5.1797,2026-03-09,253.28164019,253.28164019,4.615384615384621,3.0303030303030276,,1.0314317013567036,19.104180475733372,96.28681177976952,91.42125480153649,85.4033290653009,94.55825864276568,70.16645326504481,50.288092189500645,0.10010000000000008,94.2381562099872,0.15000000000000013,79.48143405889886,89.69270166453265,81.17637644046094
600008.SH,首创环保,水务,SSE,3.18,13.6436,1.1335,1.1888,1.6397,1.04,2334307.8353,2334307.8353,6.6038,2026-03-09,233.43078352999999,233.43078352999999,4.6052631578947345,4.950495049504955,,1.0404624277456649,15.686542343252366,86.87580025608194,87.64404609475032,79.16133162612036,98.07938540332907,70.03841229193341,56.53008962868118,0.13969999999999994,91.70934699103714,0.15999999999999992,78.84122919334187,95.83866837387964,80.8002560819462
603071.SH,物产环能,批发业,SSE,14.3,12.1232,1.4289,0.1959,0.8185,1.03,797874.8521,797874.8521,4.8951,2026-03-09,79.78748521,79.78748521,7.19640179910046,7.518796992481214,,1.0525024533856722,19.83429574694145,91.10115236875801,77.40076824583866,98.20742637644047,93.08578745198463,78.68117797695263,63.188220230473746,0.6815,59.026888604353395,0.16999999999999993,77.33674775928297,88.15620998719591,79.71190781049935
600023.SH,浙能电力,火力发电,SSE,5.5,10.1263,0.9913,0.9159,0.855,0.86,7374803.012,7374803.012,6.1818,2026-03-09,737.4803012,737.4803012,11.336032388663963,6.382978723404253,,1.0817544089687274,15.555031193505542,95.00640204865557,91.58130601792574,84.31498079385403,97.1830985915493,87.25992317541613,59.859154929577464,0.645,61.971830985915496,0.33999999999999997,44.078104993597954,96.35083226632523,79.11651728553136
600511.SH,国药股份,医药商业,SSE,30.02,11.2625,1.2554,0.436,1.6253,0.99,2265018.0,1661145.9648,2.6649,2026-03-09,226.5018,166.11459648,4.855047153335668,2.3874488403820004,,1.0305467985650612,11.70049805936541,92.70166453265045,83.61075544174136,94.81434058898847,71.44686299615877,70.99871959026889,47.63124199743918,0.12529999999999997,92.06145966709347,0.20999999999999996,70.00640204865557,99.10371318822023,78.16901408450705
600874.SH,创业环保,环境保护,SSE,6.45,12.1815,1.003,2.0735,1.4542,1.09,1012919.6648,793619.6648,2.6357,2026-03-09,101.29196648,79.36196648,4.707792207792205,7.142857142857162,,1.0491501070837965,19.654144251394925,90.9090909090909,91.1651728553137,54.80153649167734,70.93469910371319,70.6145966709347,62.419974391805376,0.04580000000000006,97.31113956466069,0.10999999999999988,87.35595390524968,88.41229193341869,78.04417413572342
002060.SZ,广东建工,建筑工程,SZSE,3.97,13.7737,1.0813,0.2114,2.3258,1.14,1490494.1171,620437.42,3.5264,2026-03-09,149.04941171,62.043742,7.008086253369283,4.199475065616798,,1.0586666666666666,21.91716557981409,86.29961587708067,88.98847631241998,97.95134443021767,82.3943661971831,78.23303457106275,54.41741357234315,0.8258000000000001,50.640204865556974,0.06000000000000005,92.797695262484,81.75416133162612,77.98015364916773
002034.SZ,旺能环境,环境保护,SZSE,17.8,12.8778,1.1264,2.3417,1.5833,1.34,772495.5588,768661.8162,2.7527,2026-03-09,77.24955588,76.86618162,5.889351576442614,8.20668693009119,,1.0707625674239538,20.94135255502337,89.30857874519846,87.9641485275288,49.10371318822023,73.36747759282972,74.51984635083227,65.55697823303457,0.08329999999999993,95.07042253521126,0.14000000000000012,81.27400768245839,84.50704225352112,77.07106274007683
600970.SH,中材国际,建筑工程,SSE,10.92,9.5528,1.2921,0.6041,0.9371,1.17,2863026.9202,2859658.5599,4.1494,2026-03-09,286.30269202,285.96585599,3.018867924528301,12.230215827338121,,1.0409583426011249,34.61943017160058,95.90268886043533,81.88220230473752,91.10115236875801,88.18822023047375,64.34058898847631,74.00768245838668,0.5629,66.19718309859155,0.030000000000000027,95.77464788732394,43.533930857874516,77.0102432778489
