symbol,current_price,price_6m_ago,latest_date,start_date,return_6m,name,industry,current_price_fund,pe_ttm,pb,market_cap,circulating_cap,turnover_rate,dividend_yield_ttm,median_pe,median_pb,stock_count,hist_median_pe,hist_avg_pe,hist_std_pe,hist_median_pb,hist_avg_pb,excess_decline,pe_vs_hist_median,pb_vs_hist_median,sentiment_score,fundamental_score,total_score
000596.SZ,,173.369999994345,2026-03-09,2025-09-10,-35.93470611776957,古井贡酒,白酒,,12.4101,2.3548,587.11602,453.83202,0.7135,5.402,15.7895,2.8338,13.0,16.48885,18.046419294605812,5.005373560889857,3.7630999999999997,3.9982470954356857,-35.93470611776957,-24.73641278803555,-37.42393239616273,95,55,150
603369.SH,,42.74,2026-03-09,2025-09-10,-31.913897987833412,今世缘,白酒,,12.619,2.1978,362.81881077,362.81881077,0.4638,4.1237,15.7895,2.8338,13.0,16.10975,16.621679668049794,2.567313331350912,3.653,3.7210454356846463,-31.913897987833412,-21.66855475721224,-39.83575143717493,95,45,140
601127.SH,,138.259999995195,2026-03-09,2025-09-10,-29.26370605858608,赛力斯,汽车整车,,23.5952,4.2508,1703.6614141100001,1476.56698475,1.4409,1.3088,21.4357,1.7981500000000001,14.0,32.1904,31.142185294117645,2.894550691046347,8.601949999999999,7.4684270588235275,-29.26370605858608,-26.701128286694164,-50.58329797313399,85,40,125
603198.SH,,45.93,2026-03-09,2025-09-10,-21.663400827345967,迎驾贡酒,白酒,,13.7441,2.8338,287.84,287.84,0.3408,4.169,15.7895,2.8338,13.0,16.07045,16.85166556016598,3.1932378621159,4.55505,4.493011203319503,-21.663400827345967,-14.475948091061552,-37.78773010175519,80,40,120
600612.SH,,55.6700000024,2026-03-09,2025-09-10,-23.33393210317943,老凤祥,服饰,,12.722,1.6932,223.26666168,135.34239008,0.8063,4.8032,18.6031,1.7297,27.0,14.3368,14.366877593360998,1.84307699520832,2.1546,2.287039004149377,-23.33393210317943,-11.26332235924335,-21.414647730437196,70,50,120
002543.SZ,,11.809999999707001,2026-03-09,2025-09-10,-24.724809481621033,万和电气,家用电器,,9.6802,1.3065,66.10604000000001,58.81721817,0.9401,2.9164,26.2748,2.3427,48.0,13.02385,13.645558298755185,2.307676678852602,1.68845,1.6773935684647303,-24.724809481621033,-25.673284013559744,-22.62133909798928,75,45,120
601766.SH,,7.49000000008,2026-03-09,2025-09-10,-16.42189586204089,中国中车,运输设备,,11.8923,1.0781,1796.54889191,1522.9201578,0.6313,5.1118,29.4216,1.919,19.0,16.1752,15.878184854771783,1.982392518252364,1.27905,1.286504564315353,-16.42189586204089,-26.47818883228646,-15.710879168132596,55,60,115
002074.SZ,,46.76,2026-03-09,2025-09-10,-19.311377245508986,国轩高科,电气设备,,20.5689,2.4055,684.46513825,655.06538271,3.625,0.2617,37.981899999999996,3.0931,92.0,37.0266,39.11101452282158,14.022605783943597,1.6447500000000002,1.8776238589211618,-19.311377245508986,-44.44831553531785,46.25322997416019,60,55,115
002468.SZ,,17.4,2026-03-09,2025-09-10,-23.50574712643677,申通快递,仓储物流,,17.8238,1.9809,203.74976829,195.28431547,2.0237,0.494,24.45795,1.8714,32.0,22.36705,24.916349377593367,7.850218970555208,1.7679,1.8714365145228216,-23.50574712643677,-20.312245021136004,12.048192771084342,65,50,115
601881.SH,,16.94999999961,2026-03-09,2025-09-10,-17.28613569131219,中国银河,证券,,10.9223,1.3193,1533.00319629,1015.52715074,0.3863,2.2896,18.9809,1.2043,48.0,16.3898,16.459372614107888,2.6277982276491434,1.51225,1.4765354771784234,-17.28613569131219,-33.35916240588659,-12.759133741114246,60,55,115
000568.SZ,,138.219999994846,2026-03-09,2025-09-10,-24.02691361314162,泸州老窖,白酒,,12.2263,3.2418,1545.68625535,1544.96634249,0.4501,5.6662,15.7895,2.8338,13.0,13.99095,14.571000622406638,2.471576218901939,4.2477,4.418685477178423,-24.02691361314162,-12.612796128926195,-23.681050921675258,70,45,115
