symbol,name,industry,list_date,price,pe_ttm,pb,market_cap,circulating_cap,turnover_rate,dividend_yield_ttm,median_pe,median_pb,median_market_cap,stock_count,pe_vs_industry,growth_score
300193.SZ,佳士科技,专用机械,2011-03-22,,19.7346,2.0172,46.481980969999995,40.95839359,4.0514,2.0492,45.8908,3.3432000000000004,61.19272684,132.0,-56.99660934217752,100
920523.BJ,德瑞锂电,电气设备,2021-06-03,,16.9013,3.5165,25.06195869,19.89942306,1.5526,1.2126,44.2981,3.26595,92.1528,172.0,-61.84644488138318,100
000885.SZ,城发环境,环境保护,1999-03-19,,7.5355,0.9792,89.69833222000001,89.69833222000001,1.0053,2.5483,28.28245,1.8,60.113765645,58.0,-73.35626864009306,100
600526.SH,菲达环保,环境保护,2002-07-22,,18.2622,1.1666,52.16685671,51.24551912,1.4661,1.7055,28.28245,1.8,60.113765645,58.0,-35.42921493717836,100
002616.SZ,长青集团,环境保护,2011-09-20,,17.7169,1.5359,52.326276809999996,35.77754832,4.5956,2.1271,28.28245,1.8,60.113765645,58.0,-37.35726572485765,100
920735.BJ,德源药业,化学制药,2021-02-19,,17.0431,3.0898,40.38016376,35.713238909999994,1.7967,0.891,28.3127,2.5159,77.59760816000001,91.0,-39.80404553433618,100
002483.SZ,润邦股份,专用机械,2010-09-29,,15.4369,1.5987,70.11965147000001,70.0233382,1.6247,3.7927,45.8908,3.3432000000000004,61.19272684,132.0,-66.3616672622835,100
300705.SZ,九典制药,化学制药,2017-10-10,,15.9046,2.8298,74.59340689,55.00119618000001,1.1055,2.0609,28.3127,2.5159,77.59760816000001,91.0,-43.825209181745294,100
002393.SZ,力生制药,化学制药,2010-04-23,,14.4803,1.1428,55.89634493,54.314637139999995,2.0504,2.9834,28.3127,2.5159,77.59760816000001,91.0,-48.85581382206572,100
920195.BJ,三祥科技,汽车配件,2022-12-30,,19.3101,2.575,21.37054,15.42545873,1.5738,0.9174,34.46,3.055,62.5856,189.0,-43.963726059199075,100
002605.SZ,姚记科技,互联网,2011-08-05,,19.1346,2.6254,96.6445217,78.03917424,2.5481,2.154,36.3196,3.9651,98.472550215,26.0,-47.31604973623058,100
600742.SH,富维股份,汽车配件,1996-08-26,,15.4625,0.9245,77.35232531,77.35232531,1.952,6.4361,34.46,3.055,62.5856,189.0,-55.12913522925131,100
688501.SH,青达环保,环境保护,2021-07-16,,18.1246,2.9088,32.795664,32.795664,2.0096,0.9006,28.28245,1.8,60.113765645,58.0,-35.915735730108246,100
