symbol,name,industry,exchange,price,pe_ttm,pb,turnover_rate,market_cap_10k,circulating_cap_10k,dividend_yield_ttm,date,market_cap,circulating_cap,median_pe,median_pb,pe_discount,pb_discount,score
603508.SH,思维列控,IT设备,SSE,64.08,16.1987,2.5996,0.5585,999701.4165,999701.4165,12.5411,2026-03-06,99.97014165,99.97014165,40.9283,3.4168,60.421761959328876,23.91711542964177,68.96713941262408
601919.SH,中远海控,水运,SSE,30.34,6.3551,1.0855,1.185,24178733.6983,19826252.5678,10.1127,2026-03-06,2417.8733698300002,1982.62525678,18.44895,1.7695,65.5530531547866,38.654987284543665,68.15581744727774
601668.SH,中国建筑,建筑工程,SSE,10.55,4.6717,0.4327,0.7028,20866797.1742,20866797.1742,5.3762,2026-03-06,2086.6797174199996,2086.6797174199996,20.061799999999998,1.3445,76.71345542274372,67.81703235403495,67.15909187530798
600582.SH,天地科技,专用机械,SSE,254.7,9.002,0.9833,0.7471,2507984.8686,2507984.8686,5.231,2026-03-06,250.79848686000003,250.79848686000003,37.0845,2.8635,75.72570750583128,65.66090448751528,65.6815543485871
601186.SH,中国铁建,建筑工程,SSE,10.44,4.6282,0.3618,0.6673,9872326.6705,8362859.4785,4.1265,2026-03-06,987.2326670499999,836.2859478500001,20.061799999999998,1.3445,76.93028541805819,73.09036816660468,65.07872461720467
000651.SZ,格力电器,家用电器,SZSE,8174.28,6.6117,1.5089,0.4835,20949257.4713,20626681.7832,7.9981,2026-03-06,2094.9257471299998,2062.66817832,26.45625,2.3583499999999997,75.00892983699504,36.018826722072625,64.8035199514198
600704.SH,物产中大,仓储物流,SSE,103.03,7.664,0.7202,1.2319,2911374.2781,2911374.2781,5.5062,2026-03-06,291.13742781,291.13742781,24.67665,1.8864,68.9422997043764,61.8214588634436,62.64195754078364
600741.SH,华域汽车,汽车配件,SSE,804.16,8.6432,0.9221,0.3539,5968106.5017,5968106.5017,4.2261,2026-03-06,596.81065017,596.81065017,33.56925,2.6611000000000002,74.25262703217975,65.34891586186164,61.98402557143039
600894.SH,广日股份,运输设备,SSE,47.28,11.972,0.9325,0.4333,795467.5901,787496.9116,7.5352,2026-03-06,79.54675901,78.74969116,29.7898,1.9045,59.811747645167145,51.03701758991861,61.84140433504244
601390.SH,中国中铁,建筑工程,SSE,7.92,5.9011,0.4671,1.2735,14638929.6039,12143947.3339,4.3919,2026-03-06,1463.89296039,1214.39473339,20.061799999999998,1.3445,70.58539114137315,65.25846039419858,60.98739457480883
